inputName,text,data,bss
values_11,124,0,40
values_19,124,0,40
values_12,124,0,40
values_38,84,0,40
values_81,76,0,40
values_5,124,0,40
values_40,76,0,40
values_70,124,0,40
values_23,76,0,40
values_72,76,0,40
values_79,84,0,40
values_78,124,0,40
values_87,124,0,40
values_6,76,0,40
values_68,124,0,40
values_69,76,0,40
values_1,76,0,40
values_45,124,0,40
values_33,124,0,40
values_15,76,0,40
values_93,76,0,40
values_24,60,0,40
values_25,76,0,40
values_26,80,0,40
values_48,76,0,40
values_71,124,0,40
values_76,76,0,40
values_7,124,0,40
values_50,124,0,40
values_22,76,0,40
values_4,76,0,40
values_32,60,0,40
values_77,76,0,40
values_91,76,0,40
values_42,76,0,40
values_13,124,0,40
values_41,124,0,40
values_55,84,0,40
values_31,124,0,40
values_66,124,0,40
values_65,124,0,40
values_62,76,0,40
values_21,124,0,40
values_95,84,0,40
values_84,76,0,40
values_58,124,0,40
values_64,124,0,40
values_83,76,0,40
values_94,124,0,40
values_0,76,0,40
values_99,76,0,40
values_96,76,0,40
values_67,76,0,40
values_61,76,0,40
values_43,124,0,40
values_2,124,0,40
values_54,84,0,40
values_30,124,0,40
values_59,124,0,40
values_85,124,0,40
values_74,124,0,40
values_90,124,0,40
values_18,76,0,40
values_52,124,0,40
values_44,76,0,40
values_17,76,0,40
values_36,76,0,40
values_49,80,0,40
values_86,124,0,40
values_37,124,0,40
values_56,124,0,40
values_63,124,0,40
values_35,124,0,40
values_97,76,0,40
values_75,124,0,40
values_57,124,0,40
values_88,124,0,40
values_10,124,0,40
values_53,60,0,40
values_8,124,0,40
values_39,124,0,40
values_47,76,0,40
values_60,124,0,40
values_89,84,0,40
values_51,124,0,40
values_14,76,0,40
values_28,124,0,40
values_16,76,0,40
values_34,84,0,40
values_82,124,0,40
values_46,76,0,40
values_27,84,0,40
values_20,76,0,40
values_9,124,0,40
values_92,76,0,40
values_3,76,0,40
values_98,124,0,40
values_29,124,0,40
values_80,76,0,40
values_73,124,0,40
