11,0.0,11680.423828125,10711.337890625,20144.251953125,11174.91796875,3853.7685546875,6695.8916015625,4446.52001953125,0.0,5629.6494140625,10367.78515625,15274.890625,6906.91748046875,10687.140625,6278.57666015625,0.0,116.33135986328125,2686.62744140625,6442.43017578125,10003.095703125,5514.16162109375,3950.84375,1008.6156616210938,0.0,0.0,9509.0869140625,12066.830078125,17711.384765625,3775.52783203125,5779.91748046875,2539.931884765625,0.0,0.0,10336.017578125,8513.9248046875,18677.775390625,907.5599365234375,5045.76171875,4367.16845703125,2266.327392578125,0.0,7867.9052734375,5077.91943359375,11867.5107421875,4258.2197265625,3342.357177734375,2380.716064453125,3773.49609375,0.0,11513.4287109375,6276.18408203125,12259.6611328125,3367.121826171875,5820.63916015625,7563.25390625,363.4127197265625,1702.9910888671875,8965.33984375,7189.47705078125,11898.513671875,6166.05029296875,4955.5517578125,6607.3896484375,638.8201293945312,0.0,5353.2216796875,7517.2685546875,6308.7900390625,1168.8333740234375,3813.77099609375,692.3613891601562,663.2747192382812
19,0.0,7353.2841796875,12444.953125,13959.9677734375,2942.781494140625,4953.275390625,2978.682861328125,0.0,0.0,4392.2548828125,9258.0048828125,8951.458984375,3509.99951171875,1640.3258056640625,3443.75634765625,1362.4742431640625,0.0,2518.28173828125,1259.5869140625,2818.72900390625,804.5071411132812,1829.947265625,0.0,0.0,0.0,9292.4912109375,6634.95947265625,9934.29296875,0.0,4371.20166015625,7056.43603515625,4056.455078125,209.046630859375,2351.735595703125,3309.53759765625,9702.3896484375,5481.51708984375,2248.234375,2597.337158203125,590.4085693359375,0.0,1367.247314453125,1424.31689453125,3622.857421875,1222.9486083984375,122.04519653320312,0.0,92.78531646728516,511.56756591796875,3803.22998046875,6515.9443359375,7597.22705078125,0.0,2190.5185546875,3497.3291015625,710.6085205078125,0.0,3048.104248046875,456.342041015625,4523.857421875,0.0,2272.440185546875,3018.260498046875,412.1658020019531,0.0,1449.53271484375,854.6380004882812,1427.218017578125,0.0,190.19552612304688,431.5381774902344,119.11372375488281
12,0.0,15607.287109375,15056.1552734375,21136.525390625,1224.2857666015625,7189.302734375,13630.3515625,7984.8671875,1263.685546875,8763.90234375,10900.521484375,20473.19140625,5117.94287109375,6155.08935546875,6068.78857421875,1184.4388427734375,0.0,6564.150390625,9271.3046875,10546.6328125,4304.845703125,3838.710205078125,5771.1826171875,1723.9183349609375,0.0,8225.478515625,12713.2236328125,17714.373046875,3326.565185546875,3742.345703125,3743.700439453125,2470.021728515625,0.0,7912.74169921875,11379.681640625,16528.810546875,7227.3876953125,8975.927734375,5743.697265625,3168.2490234375,0.0,4661.67431640625,4209.7548828125,15424.8681640625,3487.907958984375,4346.5693359375,5844.80029296875,0.0,0.0,6148.73046875,10225.7626953125,17363.08984375,0.0,6028.611328125,6369.2822265625,2911.80322265625,0.0,4703.791015625,11948.0380859375,11810.861328125,4151.0244140625,3044.078125,5206.88720703125,0.0,0.0,6004.89794921875,5058.4033203125,8333.4169921875,1178.3062744140625,2867.531005859375,3806.40576171875,0.0
38,0.0,227.16305541992188,490.29345703125,282.7994384765625,351.1440124511719,124.79522705078125,20.29681396484375,174.239990234375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,0.0,11290.8408203125,14720.2802734375,18619.779296875,10437.0244140625,514.9658813476562,10576.7431640625,17.450469970703125,594.3848876953125,11513.017578125,10527.556640625,13739.2333984375,10570.91796875,2912.069580078125,5825.60986328125,0.0,0.0,2272.290283203125,8297.865234375,8471.7666015625,4953.60791015625,2342.316162109375,3922.18505859375,486.77197265625,0.0,10321.046875,7646.54443359375,10981.9326171875,4460.775390625,5753.8388671875,5507.4267578125,0.0,0.0,7459.41259765625,7339.0498046875,9065.7197265625,4855.3427734375,5489.73779296875,2644.859375,1117.9002685546875,1601.281982421875,4383.2216796875,7291.93798828125,11394.8046875,238.06256103515625,1683.3746337890625,3302.63916015625,1351.843017578125,0.0,3511.626953125,5939.77587890625,9886.291015625,0.0,1452.6072998046875,4146.94384765625,630.4686279296875,1555.3544921875,4153.38623046875,4562.7998046875,7393.74755859375,864.9551391601562,2425.44580078125,1032.7589111328125,0.0,0.0,1188.7952880859375,4274.380859375,5342.5322265625,2033.2587890625,855.4361572265625,669.7863159179688,0.0
5,0.0,3490.72119140625,5098.7021484375,5811.9267578125,1718.701171875,1539.35205078125,439.1073913574219,0.0,201.60826110839844,1105.83544921875,868.089599609375,3196.97607421875,27.531208038330078,1022.8888549804688,908.23583984375,719.4371948242188,0.0,262.71429443359375,244.66421508789062,226.89053344726562,73.85597229003906,261.6286926269531,0.0,328.9840087890625,1506.708251953125,3028.91845703125,1375.892822265625,3975.47412109375,0.0,4141.22265625,2612.265625,1778.1153564453125,415.4319152832031,506.92987060546875,1073.8775634765625,2666.754150390625,99.66180419921875,444.12652587890625,626.6908569335938,874.1084594726562,0.0,46.627689361572266,117.16780090332031,199.01614379882812,312.5697021484375,76.39722442626953,0.0,30.732521057128906,349.97540283203125,667.3341674804688,818.1611328125,54.024818420410156,0.0,0.0,701.2971801757812,197.25244140625,0.0,491.75689697265625,549.9944458007812,448.10565185546875,292.6693115234375,131.94097900390625,0.0,60.847415924072266,0.0,63.16994857788086,0.1995258331298828,69.23450469970703,140.19134521484375,74.89131164550781,16.45231819152832,37.957794189453125
40,0.0,3758.623779296875,3517.408203125,6745.36962890625,2668.26708984375,827.3517456054688,2713.261474609375,562.2140502929688,0.0,2377.544921875,1206.632080078125,3715.10888671875,610.409912109375,652.626708984375,809.600341796875,0.0,0.0,504.51434326171875,0.0,291.8482360839844,512.6810913085938,143.96087646484375,115.76459503173828,317.0637512207031,391.8059997558594,739.134521484375,1905.62890625,2320.044921875,0.0,912.0116577148438,2196.261474609375,800.3983154296875,359.4436340332031,869.5989379882812,96.54704284667969,2694.72509765625,79.485107421875,1573.6619873046875,738.15283203125,1030.0157470703125,0.0,230.4267578125,90.18399047851562,379.8858947753906,300.53204345703125,298.70343017578125,0.0,274.3307800292969,583.2547607421875,884.1055297851562,1303.5394287109375,1228.412841796875,0.0,1274.4544677734375,1541.3843994140625,116.87980651855469,174.08163452148438,428.39447021484375,538.6057739257812,1146.323974609375,125.33189392089844,307.9049072265625,297.9994201660156,495.73095703125,0.0,0.0,0.0,122.41215515136719,0.0,59.89817810058594,0.0,134.73020935058594
70,0.0,13410.8583984375,16334.748046875,26402.857421875,4244.7001953125,1978.113525390625,5193.923828125,4010.33056640625,0.0,16226.580078125,15147.6298828125,22931.09765625,11817.4072265625,3650.817138671875,14288.2099609375,5246.29052734375,0.0,8866.2568359375,10931.435546875,17554.396484375,11104.6220703125,4656.79736328125,5564.5517578125,614.02490234375,0.0,15171.984375,18590.244140625,16643.435546875,7882.33740234375,5829.3955078125,4217.7353515625,0.0,0.0,8373.251953125,13562.380859375,19098.123046875,7820.814453125,7398.8173828125,8428.869140625,7448.7529296875,740.6337280273438,4261.05615234375,11910.8046875,11543.0419921875,4377.26220703125,8271.0966796875,4857.6220703125,1597.641845703125,0.0,11727.30078125,12400.5703125,19393.490234375,875.2957153320312,5990.6298828125,6004.5224609375,0.0,402.81878662109375,8911.3291015625,16225.3779296875,17891.822265625,8331.1875,8887.6279296875,9796.5732421875,1436.134521484375,0.0,9315.1552734375,12205.2255859375,14254.181640625,4130.1005859375,8524.5478515625,3098.58447265625,5779.03271484375
23,0.0,11897.2080078125,14002.626953125,14174.78515625,9284.423828125,6782.7998046875,9930.1533203125,0.0,0.0,17614.955078125,13188.154296875,23109.14453125,7753.451171875,10403.53515625,4455.62353515625,5229.97607421875,0.0,9878.099609375,8180.1640625,20225.0546875,5316.013671875,11639.828125,8694.7529296875,0.0,0.0,8441.873046875,18660.46875,21344.2265625,7854.91552734375,0.0,3766.159423828125,0.0,0.0,11242.73828125,13736.833984375,19535.185546875,4087.6708984375,11094.6484375,2069.202880859375,4847.50146484375,0.0,10210.2373046875,14684.6796875,16656.923828125,6709.03125,8057.11328125,5126.27392578125,8053.2509765625,0.0,10811.2451171875,11498.6953125,15477.8291015625,0.0,9764.5185546875,4191.89599609375,3010.42822265625,0.0,12802.689453125,11992.7265625,12892.4287109375,9345.7841796875,4006.771728515625,0.0,3703.36865234375,0.0,10672.619140625,14650.6708984375,18175.2578125,4714.74267578125,5702.9521484375,4324.68603515625,1294.8592529296875
72,0.0,8290.50390625,16607.427734375,20393.2578125,4473.38525390625,4357.5751953125,13582.619140625,2143.984619140625,0.0,7561.08935546875,13584.8232421875,17707.2265625,1938.8240966796875,4816.93896484375,2313.1884765625,1275.3892822265625,0.0,3979.32177734375,6637.35595703125,10894.22265625,6594.97802734375,1982.997802734375,3767.761962890625,0.0,0.0,9487.236328125,16778.923828125,12786.80859375,2577.16455078125,5227.9521484375,6088.93212890625,25.232269287109375,0.0,8490.84375,12019.5166015625,15886.923828125,1392.2110595703125,2393.29248046875,8976.5439453125,1576.5093994140625,0.0,3301.703369140625,7169.46630859375,12721.5673828125,7749.533203125,0.0,2365.896240234375,0.0,0.0,5485.65380859375,11901.1484375,7977.763671875,4347.8388671875,2912.123046875,5160.43017578125,125.68721008300781,0.0,3465.072265625,5104.52001953125,10681.107421875,0.0,4786.87109375,2940.4912109375,906.8080444335938,0.0,4650.3486328125,6533.25732421875,9928.44140625,695.16845703125,1856.5341796875,7538.263671875,1277.7353515625
