inputName,text,data,bss
values_11,1352,184,0
values_19,1352,168,0
values_12,1352,208,0
values_38,1352,56,0
values_81,1352,184,0
values_5,1352,240,0
values_40,1336,80,0
values_70,1336,80,0
values_23,1352,248,0
values_72,1352,208,0
values_79,1352,168,0
values_78,1352,56,0
values_87,1352,224,0
values_6,1352,160,0
values_68,1352,56,0
values_69,1352,168,0
values_1,1352,184,0
values_45,1352,240,0
values_33,1352,248,0
values_15,1352,240,0
values_93,1352,248,0
values_24,1352,264,0
values_25,1352,240,0
values_26,1352,160,0
values_48,1352,56,0
values_71,1352,184,0
values_76,1352,160,0
values_7,1352,224,0
values_50,1336,80,0
values_22,1352,208,0
values_4,1352,264,0
values_32,1352,208,0
values_77,1352,224,0
values_91,1352,184,0
values_42,1352,208,0
values_13,1352,248,0
values_41,1352,184,0
values_55,1352,240,0
values_31,1352,184,0
values_66,1352,160,0
values_65,1352,240,0
values_62,1352,208,0
values_21,1352,184,0
values_95,1352,240,0
values_84,1352,264,0
values_58,1352,56,0
values_64,1352,264,0
values_83,1352,248,0
values_94,1352,264,0
values_0,1336,80,0
values_99,1352,168,0
values_96,1352,160,0
values_67,1352,224,0
values_61,1352,184,0
values_43,1352,248,0
values_2,1352,208,0
values_54,1352,264,0
values_30,1336,80,0
values_59,1352,168,0
values_85,1352,240,0
values_74,1352,264,0
values_90,1336,80,0
values_18,1352,56,0
values_52,1352,208,0
values_44,1352,264,0
values_17,1352,224,0
values_36,1352,160,0
values_49,1352,168,0
values_86,1352,160,0
values_37,1352,224,0
values_56,1352,160,0
values_63,1352,248,0
values_35,1352,240,0
values_97,1352,224,0
values_75,1352,240,0
values_57,1352,224,0
values_88,1352,56,0
values_10,1336,80,0
values_53,1352,248,0
values_8,1352,56,0
values_39,1352,168,0
values_47,1352,224,0
values_60,1336,80,0
values_89,1352,168,0
values_51,1352,184,0
values_14,1352,264,0
values_28,1352,56,0
values_16,1352,160,0
values_34,1352,264,0
values_82,1352,208,0
values_46,1352,160,0
values_27,1352,224,0
values_20,1336,80,0
values_9,1352,168,0
values_92,1352,208,0
values_3,1352,248,0
values_98,1352,56,0
values_29,1352,168,0
values_80,1336,80,0
values_73,1352,248,0
