inputName,text,data,bss
values_11,372,0,40
values_19,372,0,40
values_12,372,0,40
values_38,84,0,40
values_81,76,0,40
values_5,372,0,40
values_40,76,0,40
values_70,372,0,40
values_23,76,0,40
values_72,76,0,40
values_79,84,0,40
values_78,372,0,40
values_87,372,0,40
values_6,76,0,40
values_68,372,0,40
values_69,76,0,40
values_1,76,0,40
values_45,372,0,40
values_33,372,0,40
values_15,76,0,40
values_93,76,0,40
values_24,60,0,40
values_25,76,0,40
values_26,80,0,40
values_48,76,0,40
values_71,372,0,40
values_76,76,0,40
values_7,372,0,40
values_50,372,0,40
values_22,76,0,40
values_4,76,0,40
values_32,60,0,40
values_77,76,0,40
values_91,76,0,40
values_42,76,0,40
values_13,372,0,40
values_41,372,0,40
values_55,84,0,40
values_31,372,0,40
values_66,372,0,40
values_65,372,0,40
values_62,76,0,40
values_21,372,0,40
values_95,84,0,40
values_84,76,0,40
values_58,372,0,40
values_64,372,0,40
values_83,76,0,40
values_94,372,0,40
values_0,76,0,40
values_99,76,0,40
values_96,76,0,40
values_67,76,0,40
values_61,76,0,40
values_43,372,0,40
values_2,372,0,40
values_54,84,0,40
values_30,372,0,40
values_59,372,0,40
values_85,372,0,40
values_74,372,0,40
values_90,372,0,40
values_18,76,0,40
values_52,372,0,40
values_44,76,0,40
values_17,76,0,40
values_36,76,0,40
values_49,80,0,40
values_86,372,0,40
values_37,372,0,40
values_56,372,0,40
values_63,372,0,40
values_35,372,0,40
values_97,76,0,40
values_75,372,0,40
values_57,372,0,40
values_88,372,0,40
values_10,372,0,40
values_53,60,0,40
values_8,372,0,40
values_39,372,0,40
values_47,76,0,40
values_60,372,0,40
values_89,84,0,40
values_51,372,0,40
values_14,76,0,40
values_28,372,0,40
values_16,76,0,40
values_34,84,0,40
values_82,372,0,40
values_46,76,0,40
values_27,84,0,40
values_20,76,0,40
values_9,372,0,40
values_92,76,0,40
values_3,76,0,40
values_98,372,0,40
values_29,372,0,40
values_80,76,0,40
values_73,372,0,40
