inputName,text,data,bss
values_11,984,20,0
values_19,984,29,0
values_12,984,23,0
values_38,984,12,0
values_81,984,20,0
values_5,984,30,0
values_40,984,23,0
values_70,984,23,0
values_23,984,9,0
values_72,984,23,0
values_79,984,29,0
values_78,984,12,0
values_87,984,24,0
values_6,984,34,0
values_68,984,12,0
values_69,984,29,0
values_1,984,20,0
values_45,984,30,0
values_33,984,9,0
values_15,984,30,0
values_93,984,9,0
values_24,976,8,0
values_25,984,30,0
values_26,984,34,0
values_48,984,12,0
values_71,984,20,0
values_76,984,34,0
values_7,984,24,0
values_50,984,23,0
values_22,984,23,0
values_4,976,8,0
values_32,984,23,0
values_77,984,24,0
values_91,984,20,0
values_42,984,23,0
values_13,984,9,0
values_41,984,20,0
values_55,984,30,0
values_31,984,20,0
values_66,984,34,0
values_65,984,30,0
values_62,984,23,0
values_21,984,20,0
values_95,984,30,0
values_84,976,8,0
values_58,984,12,0
values_64,976,8,0
values_83,984,9,0
values_94,976,8,0
values_0,984,23,0
values_99,984,29,0
values_96,984,34,0
values_67,984,24,0
values_61,984,20,0
values_43,984,9,0
values_2,984,23,0
values_54,976,8,0
values_30,984,23,0
values_59,984,29,0
values_85,984,30,0
values_74,976,8,0
values_90,984,23,0
values_18,984,12,0
values_52,984,23,0
values_44,976,8,0
values_17,984,24,0
values_36,984,34,0
values_49,984,29,0
values_86,984,34,0
values_37,984,24,0
values_56,984,34,0
values_63,984,9,0
values_35,984,30,0
values_97,984,24,0
values_75,984,30,0
values_57,984,24,0
values_88,984,12,0
values_10,984,23,0
values_53,984,9,0
values_8,984,12,0
values_39,984,29,0
values_47,984,24,0
values_60,984,23,0
values_89,984,29,0
values_51,984,20,0
values_14,976,8,0
values_28,984,12,0
values_16,984,34,0
values_34,976,8,0
values_82,984,23,0
values_46,984,34,0
values_27,984,24,0
values_20,984,23,0
values_9,984,29,0
values_92,984,23,0
values_3,984,9,0
values_98,984,12,0
values_29,984,29,0
values_80,984,23,0
values_73,984,9,0
