inputName,text,data,bss
values_11,252,32,0
values_19,252,50,0
values_12,252,6,0
values_38,252,40,0
values_81,252,48,0
values_5,252,40,0
values_40,252,50,0
values_70,252,46,0
values_23,252,20,0
values_72,252,38,0
values_79,252,58,0
values_78,252,16,0
values_87,252,26,0
values_6,252,4,0
values_68,252,10,0
values_69,252,10,0
values_1,252,42,0
values_45,252,46,0
values_33,252,52,0
values_15,252,20,0
values_93,252,46,0
values_24,252,58,0
values_25,252,36,0
values_26,252,62,0
values_48,252,32,0
values_71,252,54,0
values_76,252,28,0
values_7,252,30,0
values_50,252,54,0
values_22,252,4,0
values_4,252,22,0
values_32,252,58,0
values_77,252,34,0
values_91,252,42,0
values_42,252,62,0
values_13,252,40,0
values_41,252,12,0
values_55,252,48,0
values_31,252,48,0
values_66,252,56,0
values_65,252,54,0
values_62,252,54,0
values_21,252,64,0
values_95,252,14,0
values_84,252,16,0
values_58,252,42,0
values_64,252,8,0
values_83,252,14,0
values_94,252,44,0
values_0,252,62,0
values_99,252,36,0
values_96,252,40,0
values_67,252,50,0
values_61,252,62,0
values_43,252,28,0
values_2,252,38,0
values_54,252,20,0
values_30,252,18,0
values_59,252,30,0
values_85,252,12,0
values_74,252,10,0
values_90,252,38,0
values_18,252,36,0
values_52,252,62,0
values_44,252,42,0
values_17,252,58,0
values_36,252,14,0
values_49,252,34,0
values_86,252,44,0
values_37,252,42,0
values_56,252,44,0
values_63,252,20,0
values_35,252,6,0
values_97,252,58,0
values_75,252,56,0
values_57,252,38,0
values_88,252,46,0
values_10,252,36,0
values_53,252,12,0
values_8,252,46,0
values_39,252,28,0
values_47,252,44,0
values_60,252,8,0
values_89,252,12,0
values_51,252,48,0
values_14,252,36,0
values_28,252,40,0
values_16,252,32,0
values_34,252,20,0
values_82,252,32,0
values_46,252,42,0
values_27,252,24,0
values_20,252,10,0
values_9,252,26,0
values_92,252,64,0
values_3,252,6,0
values_98,252,34,0
values_29,252,28,0
values_80,252,38,0
values_73,252,64,0
