inputName,text,data,bss
values_11,5892,2732,1488
values_19,5896,2524,1488
values_12,5882,2516,1488
values_38,5892,2740,1488
values_81,5892,2732,1488
values_5,5896,2756,1488
values_40,5896,2524,1488
values_70,5892,2724,1488
values_23,5892,2692,1488
values_72,5892,2652,1488
values_79,5896,2756,1488
values_78,5892,2716,1488
values_87,5892,2724,1488
values_6,5892,2676,1488
values_68,5892,2740,1488
values_69,5892,2652,1488
values_1,5886,2596,1488
values_45,5896,2524,1488
values_33,5886,2580,1488
values_15,5892,2740,1488
values_93,5886,2596,1488
values_24,5886,2612,1488
values_25,5886,2572,1488
values_26,5892,2628,1488
values_48,5892,2644,1488
values_71,5886,2532,1488
values_76,5886,2548,1488
values_7,5892,2708,1488
values_50,5886,2540,1488
values_22,5892,2684,1488
values_4,5892,2676,1488
values_32,5886,2532,1488
values_77,5892,2652,1488
values_91,5892,2668,1488
values_42,5886,2532,1488
values_13,5892,2740,1488
values_41,5892,2740,1488
values_55,5886,2548,1488
values_31,5886,2620,1488
values_66,5886,2564,1488
values_65,5886,2612,1488
values_62,5886,2580,1488
values_21,5892,2676,1488
values_95,5886,2620,1488
values_84,5892,2660,1488
values_58,5892,2644,1488
values_64,5886,2588,1488
values_83,5892,2724,1488
values_94,5886,2532,1488
values_0,5892,2652,1488
values_99,5886,2580,1488
values_96,5886,2556,1488
values_67,5886,2580,1488
values_61,5892,2732,1488
values_43,5892,2652,1488
values_2,5892,2668,1488
values_54,5892,2748,1488
values_30,5886,2540,1488
values_59,5892,2724,1488
values_85,5886,2532,1488
values_74,5886,2604,1488
values_90,5892,2636,1488
values_18,5892,2708,1488
values_52,5886,2556,1488
values_44,5896,2756,1488
values_17,5892,2708,1488
values_36,5892,2708,1488
values_49,5892,2700,1488
values_86,5886,2548,1488
values_37,5892,2724,1488
values_56,5892,2748,1488
values_63,5892,2660,1488
values_35,5892,2740,1488
values_97,5896,2756,1488
values_75,5886,2588,1488
values_57,5886,2612,1488
values_88,5892,2716,1488
values_10,5882,2516,1488
values_53,5896,2524,1488
values_8,5892,2716,1488
values_39,5892,2732,1488
values_47,5886,2572,1488
values_60,5882,2516,1488
values_89,5886,2540,1488
values_51,5892,2684,1488
values_14,5892,2652,1488
values_28,5892,2724,1488
values_16,5892,2636,1488
values_34,5892,2628,1488
values_82,5892,2716,1488
values_46,5892,2660,1488
values_27,5892,2716,1488
values_20,5892,2732,1488
values_9,5882,2516,1488
values_92,5892,2692,1488
values_3,5892,2724,1488
values_98,5886,2564,1488
values_29,5892,2644,1488
values_80,5892,2716,1488
values_73,5886,2532,1488
