inputName,text,data,bss
values_11,11616,160,368
values_19,11616,160,368
values_12,11616,160,368
values_38,11616,160,368
values_81,11648,160,368
values_5,11584,152,368
values_40,11632,160,368
values_70,11536,152,368
values_23,11632,160,368
values_72,11536,152,368
values_79,11536,152,368
values_78,11536,152,368
values_87,11648,160,368
values_6,11584,152,368
values_68,11600,160,368
values_69,11600,160,368
values_1,11584,152,368
values_45,11632,160,368
values_33,11616,160,368
values_15,11616,160,368
values_93,11728,176,368
values_24,11632,160,368
values_25,11632,160,368
values_26,11632,160,368
values_48,11632,160,368
values_71,11536,152,368
values_76,11536,152,368
values_7,11584,152,368
values_50,11632,160,368
values_22,11632,160,368
values_4,11584,152,368
values_32,11616,160,368
values_77,11536,152,368
values_91,11728,176,368
values_42,11632,160,368
values_13,11616,160,368
values_41,11632,160,368
values_55,11632,160,368
values_31,11616,160,368
values_66,11600,160,368
values_65,11600,160,368
values_62,11600,160,368
values_21,11632,160,368
values_95,11728,176,368
values_84,11648,160,368
values_58,11632,160,368
values_64,11600,160,368
values_83,11648,160,368
values_94,11728,176,368
values_0,11584,152,368
values_99,11728,176,368
values_96,11728,176,368
values_67,11600,160,368
values_61,11600,160,368
values_43,11632,160,368
values_2,11584,152,368
values_54,11632,160,368
values_30,11616,160,368
values_59,11632,160,368
values_85,11648,160,368
values_74,11536,152,368
values_90,11728,176,368
values_18,11616,160,368
values_52,11632,160,368
values_44,11632,160,368
values_17,11616,160,368
values_36,11616,160,368
values_49,11632,160,368
values_86,11648,160,368
values_37,11616,160,368
values_56,11632,160,368
values_63,11600,160,368
values_35,11616,160,368
values_97,11728,176,368
values_75,11536,152,368
values_57,11632,160,368
values_88,11648,160,368
values_10,11616,160,368
values_53,11632,160,368
values_8,11584,152,368
values_39,11616,160,368
values_47,11632,160,368
values_60,11600,160,368
values_89,11648,160,368
values_51,11632,160,368
values_14,11616,160,368
values_28,11632,160,368
values_16,11616,160,368
values_34,11616,160,368
values_82,11648,160,368
values_46,11632,160,368
values_27,11632,160,368
values_20,11632,160,368
values_9,11584,152,368
values_92,11728,176,368
values_3,11584,152,368
values_98,11728,176,368
values_29,11632,160,368
values_80,11648,160,368
values_73,11536,152,368
